Mes,Saldo Anterior,Bono Mensual,Interés,Cargo Administrativo,Cargo Gestión Inversión,Saldo Final
177,77365.0,0.0,557.0,-701.0,-78.0,77143.0
178,77143.0,0.0,555.0,0.0,-78.0,77620.0
179,77620.0,0.0,559.0,0.0,-78.0,78101.0
180,78101.0,0.0,562.0,-708.0,-79.0,77876.0
181,77876.0,0.0,561.0,0.0,-78.0,78359.0
182,78359.0,0.0,564.0,0.0,-79.0,78844.0
183,78844.0,0.0,568.0,-715.0,-79.0,78618.0
184,78618.0,0.0,566.0,0.0,-79.0,79105.0
185,79105.0,0.0,570.0,0.0,-80.0,79595.0
186,79595.0,0.0,573.0,-722.0,-80.0,79366.0
187,79366.0,0.0,571.0,0.0,-80.0,79857.0
188,79857.0,0.0,575.0,0.0,-80.0,80352.0
189,80352.0,0.0,579.0,-728.0,-81.0,80122.0
190,80122.0,0.0,577.0,0.0,-81.0,80618.0
191,80618.0,0.0,580.0,0.0,-81.0,81117.0
192,81117.0,0.0,584.0,-735.0,-82.0,80884.0
193,80884.0,0.0,582.0,0.0,-81.0,81385.0
194,81385.0,0.0,586.0,0.0,-82.0,81889.0
195,81889.0,0.0,590.0,-742.0,-82.0,81655.0
196,81655.0,0.0,588.0,0.0,-82.0,82161.0
197,82161.0,0.0,592.0,0.0,-83.0,82670.0
198,82670.0,0.0,595.0,-749.0,-83.0,82433.0
199,82433.0,0.0,594.0,0.0,-83.0,82944.0
200,82944.0,0.0,597.0,0.0,-84.0,83457.0
201,83457.0,0.0,601.0,-757.0,-84.0,83217.0
202,83217.0,0.0,599.0,0.0,-84.0,83732.0
203,83732.0,0.0,603.0,0.0,-84.0,84251.0
204,84251.0,0.0,607.0,-764.0,-85.0,84009.0
205,84009.0,0.0,605.0,0.0,-85.0,84529.0
206,84529.0,0.0,609.0,0.0,-85.0,85053.0
207,85053.0,0.0,612.0,-771.0,-86.0,84808.0
208,84808.0,0.0,611.0,0.0,-85.0,85334.0
209,85334.0,0.0,614.0,0.0,-86.0,85862.0
210,85862.0,0.0,618.0,-778.0,-86.0,85616.0
211,85616.0,0.0,616.0,0.0,-86.0,86146.0
212,86146.0,0.0,620.0,0.0,-87.0,86679.0
213,86679.0,0.0,624.0,-786.0,-87.0,86430.0
214,86430.0,0.0,622.0,0.0,-87.0,86965.0
215,86965.0,0.0,626.0,0.0,-88.0,87503.0
216,87503.0,0.0,630.0,-793.0,-88.0,87252.0
217,87252.0,0.0,628.0,0.0,-88.0,87792.0
218,87792.0,0.0,632.0,0.0,-88.0,88336.0
219,88336.0,0.0,636.0,-801.0,-89.0,88082.0
220,88082.0,0.0,634.0,0.0,-89.0,88627.0
221,88627.0,0.0,638.0,0.0,-89.0,89176.0
222,89176.0,0.0,642.0,-808.0,-90.0,88920.0
223,88920.0,0.0,640.0,0.0,-90.0,89470.0
224,89470.0,0.0,644.0,0.0,-90.0,90024.0
225,90024.0,0.0,648.0,-816.0,-91.0,89765.0
226,89765.0,0.0,646.0,0.0,-90.0,90321.0
227,90321.0,0.0,650.0,0.0,-91.0,90880.0
228,90880.0,0.0,654.0,-824.0,-92.0,90618.0
229,90618.0,0.0,652.0,0.0,-91.0,91179.0
230,91179.0,0.0,656.0,0.0,-92.0,91743.0
231,91743.0,0.0,661.0,-832.0,-92.0,91480.0
232,91480.0,0.0,659.0,0.0,-92.0,92047.0
233,92047.0,0.0,663.0,0.0,-93.0,92617.0
234,92617.0,0.0,667.0,-840.0,-93.0,92351.0
235,92351.0,0.0,665.0,0.0,-93.0,92923.0
236,92923.0,0.0,669.0,0.0,-94.0,93498.0
237,93498.0,0.0,673.0,-848.0,-94.0,93229.0
238,93229.0,0.0,671.0,0.0,-94.0,93806.0
239,93806.0,0.0,675.0,0.0,-94.0,94387.0
240,94387.0,0.0,680.0,-856.0,-95.0,94116.0
241,94116.0,0.0,678.0,0.0,-95.0,94699.0
242,94699.0,0.0,682.0,0.0,-95.0,95286.0
243,95286.0,0.0,686.0,-864.0,-96.0,95012.0
244,95012.0,0.0,684.0,0.0,-96.0,95600.0
245,95600.0,0.0,688.0,0.0,-96.0,96192.0
246,96192.0,0.0,693.0,-872.0,-97.0,95916.0
247,95916.0,0.0,691.0,0.0,-97.0,96510.0
248,96510.0,0.0,695.0,0.0,-97.0,97108.0
249,97108.0,0.0,699.0,-880.0,-98.0,96829.0
250,96829.0,0.0,697.0,0.0,-98.0,97428.0
251,97428.0,0.0,701.0,0.0,-98.0,98031.0
252,98031.0,0.0,706.0,-889.0,-99.0,97749.0
253,97749.0,0.0,704.0,0.0,-98.0,98355.0
254,98355.0,0.0,708.0,0.0,-99.0,98964.0
255,98964.0,0.0,713.0,-897.0,-100.0,98680.0
256,98680.0,0.0,710.0,0.0,-99.0,99291.0
257,99291.0,0.0,715.0,0.0,-100.0,99906.0
258,99906.0,0.0,719.0,-906.0,-101.0,99618.0
259,99618.0,0.0,717.0,0.0,-100.0,100235.0
260,100235.0,0.0,722.0,0.0,-101.0,100856.0
261,100856.0,0.0,726.0,-914.0,-102.0,100566.0
262,100566.0,0.0,724.0,0.0,-101.0,101189.0
263,101189.0,0.0,729.0,0.0,-102.0,101816.0
264,101816.0,0.0,733.0,-923.0,-103.0,101523.0
265,101523.0,0.0,731.0,0.0,-102.0,102152.0
266,102152.0,0.0,735.0,0.0,-103.0,102784.0
