Mes,Saldo Anterior,Aportación,Interés,Cargo Fijo,Cargo Administrativo,Cargo Gestión Inversión,Saldo Final
140,140539.0,0.0,1124.0,0,0.0,-164.0,141499.0
141,141499.0,0.0,1132.0,0,-1477.0,-165.0,140989.0
142,140989.0,0.0,1128.0,0,0.0,-165.0,141952.0
143,141952.0,0.0,1136.0,0,0.0,-166.0,142922.0
144,142922.0,0.0,1143.0,0,-1492.0,-167.0,142406.0
145,142406.0,0.0,1139.0,0,0.0,-167.0,143378.0
146,143378.0,0.0,1147.0,0,0.0,-168.0,144357.0
147,144357.0,0.0,1155.0,0,-1507.0,-169.0,143836.0
148,143836.0,0.0,1151.0,0,0.0,-168.0,144819.0
149,144819.0,0.0,1159.0,0,0.0,-169.0,145809.0
150,145809.0,0.0,1166.0,0,-1522.0,-170.0,145283.0
151,145283.0,0.0,1162.0,0,0.0,-170.0,146275.0
152,146275.0,0.0,1170.0,0,0.0,-171.0,147274.0
153,147274.0,0.0,1178.0,0,-1538.0,-172.0,146742.0
154,146742.0,0.0,1174.0,0,0.0,-172.0,147744.0
155,147744.0,0.0,1182.0,0,0.0,-173.0,148753.0
156,148753.0,0.0,1190.0,0,-1553.0,-174.0,148216.0
157,148216.0,0.0,1186.0,0,0.0,-173.0,149229.0
158,149229.0,0.0,1194.0,0,0.0,-174.0,150249.0
159,150249.0,0.0,1202.0,0,-1569.0,-176.0,149706.0
160,149706.0,0.0,1198.0,0,0.0,-175.0,150729.0
161,150729.0,0.0,1206.0,0,0.0,-176.0,151759.0
162,151759.0,0.0,1214.0,0,-1584.0,-177.0,151212.0
163,151212.0,0.0,1210.0,0,0.0,-177.0,152245.0
164,152245.0,0.0,1218.0,0,0.0,-178.0,153285.0
165,153285.0,0.0,1226.0,0,-1600.0,-179.0,152732.0
166,152732.0,0.0,1222.0,0,0.0,-179.0,153775.0
167,153775.0,0.0,1230.0,0,0.0,-180.0,154825.0
168,154825.0,0.0,1239.0,0,-1616.0,-181.0,154267.0
169,154267.0,0.0,1234.0,0,0.0,-180.0,155321.0
170,155321.0,0.0,1243.0,0,0.0,-182.0,156382.0
171,156382.0,0.0,1251.0,0,-1633.0,-183.0,155817.0
172,155817.0,0.0,1247.0,0,0.0,-182.0,156882.0
173,156882.0,0.0,1255.0,0,0.0,-183.0,157954.0
174,157954.0,0.0,1264.0,0,-1649.0,-185.0,157384.0
175,157384.0,0.0,1259.0,0,0.0,-184.0,158459.0
176,158459.0,0.0,1268.0,0,0.0,-185.0,159542.0
177,159542.0,0.0,1276.0,0,-1666.0,-187.0,158965.0
178,158965.0,0.0,1272.0,0,0.0,-186.0,160051.0
