Mes,Saldo Anterior,Aportación,Bono,Interés,Cargo Fijo,Cargo Administrativo,Cargo Gestión Inversión,Saldo Final
106,715636.3551710082,7381.65069303127,0,5784.0,-185.0,0,-845.0,727772.0058640394
107,727772.0058640394,7381.65069303127,0,5881.0,-185.0,0,-859.0,739990.6565570707
108,739990.6565570707,7381.65069303127,0,5979.0,-185.0,0,-874.0,752292.3072501019
109,752292.3072501019,7381.65069303127,0,6077.0,-194.0,0,-888.0,764668.9579431332
110,764668.9579431332,7749.9950626135305,0,6179.0,-194.0,0,-903.0,777500.9530057467
111,777500.9530057467,7749.9950626135305,0,6282.0,-194.0,0,-918.0,790420.9480683602
112,790420.9480683602,7749.9950626135305,0,6385.0,-194.0,0,-933.0,803428.9431309737
113,803428.9431309737,7749.9950626135305,0,6489.0,-194.0,0,-948.0,816525.9381935872
114,816525.9381935872,7749.9950626135305,0,6594.0,-194.0,0,-964.0,829711.9332562007
115,829711.9332562007,7749.9950626135305,0,6700.0,-194.0,0,-979.0,842988.9283188143
116,842988.9283188143,7749.9950626135305,0,6806.0,-194.0,0,-995.0,856355.9233814278
117,856355.9233814278,7749.9950626135305,0,6913.0,-194.0,0,-1010.0,869814.9184440413
118,869814.9184440413,7749.9950626135305,0,7021.0,-194.0,0,-1026.0,883365.9135066548
119,883365.9135066548,7749.9950626135305,0,7129.0,-194.0,0,-1042.0,897008.9085692683
120,897008.9085692683,7749.9950626135305,0,7238.0,-194.0,0,-1058.0,910744.9036318818
121,910744.9036318818,7749.9950626135305,0,7348.0,-204.0,0,-1074.0,924564.8986944953
122,924564.8986944953,8136.719816237946,0,7462.0,-204.0,0,-1090.0,938869.6185107332
123,938869.6185107332,8136.719816237946,0,7576.0,-204.0,0,-1107.0,953271.3383269712
124,953271.3383269712,8136.719816237946,0,7691.0,-204.0,0,-1124.0,967771.0581432091
125,967771.0581432091,8136.719816237946,0,7807.0,-204.0,0,-1141.0,982369.777959447
126,982369.777959447,8136.719816237946,0,7924.0,-204.0,0,-1158.0,997068.4977756849
127,997068.4977756849,8136.719816237946,0,8042.0,-204.0,0,-1175.0,1011868.2175919228
128,1011868.2175919228,8136.719816237946,0,8160.0,-204.0,0,-1192.0,1026768.9374081608
129,1026768.9374081608,8136.719816237946,0,8279.0,-204.0,0,-1210.0,1041770.6572243987
130,1041770.6572243987,8136.719816237946,0,8399.0,-204.0,0,-1227.0,1056875.3770406367
131,1056875.3770406367,8136.719816237946,0,8520.0,-204.0,0,-1245.0,1072083.0968568746
132,1072083.0968568746,8136.719816237946,0,8642.0,-204.0,0,-1263.0,1087394.8166731126
133,1087394.8166731126,8136.719816237946,0,8764.0,-214.0,0,-1281.0,1102800.5364893505
134,1102800.5364893505,8542.74213506822,0,8891.0,-214.0,0,-1299.0,1118721.2786244187
135,1118721.2786244187,8542.74213506822,0,9018.0,-214.0,0,-1318.0,1134750.0207594868
136,1134750.0207594868,8542.74213506822,0,9146.0,-214.0,0,-1337.0,1150887.762894555
137,1150887.762894555,8542.74213506822,0,9275.0,-214.0,0,-1355.0,1167136.5050296232
138,1167136.5050296232,8542.74213506822,0,9405.0,-214.0,0,-1374.0,1183496.2471646913
139,1183496.2471646913,8542.74213506822,0,9536.0,-214.0,0,-1394.0,1199966.9892997595
140,1199966.9892997595,8542.74213506822,0,9668.0,-214.0,0,-1413.0,1216550.7314348277
141,1216550.7314348277,8542.74213506822,0,9801.0,-214.0,0,-1432.0,1233248.4735698958
142,1233248.4735698958,8542.74213506822,0,9934.0,-214.0,0,-1452.0,1250059.215704964
143,1250059.215704964,8542.74213506822,0,10069.0,-214.0,0,-1471.0,1266985.9578400322
144,1266985.9578400322,8542.74213506822,0,10204.0,-214.0,0,-1491.0,1284027.6999751003
145,1284027.6999751003,8542.74213506822,0,10341.0,-224.0,0,-1511.0,1301176.4421101685
146,1301176.4421101685,8969.024967608124,0,10481.0,-224.0,0,-1532.0,1318870.4670777766
147,1318870.4670777766,8969.024967608124,0,10623.0,-224.0,0,-1552.0,1336686.4920453846
148,1336686.4920453846,8969.024967608124,0,10765.0,-224.0,0,-1573.0,1354623.5170129926
149,1354623.5170129926,8969.024967608124,0,10909.0,-224.0,0,-1594.0,1372683.5419806007
150,1372683.5419806007,8969.024967608124,0,11053.0,-224.0,0,-1615.0,1390866.5669482087
151,1390866.5669482087,8969.024967608124,0,11199.0,-224.0,0,-1637.0,1409173.5919158168
152,1409173.5919158168,8969.024967608124,0,11345.0,-224.0,0,-1658.0,1427605.6168834248
153,1427605.6168834248,8969.024967608124,0,11493.0,-224.0,0,-1679.0,1446164.6418510329
154,1446164.6418510329,8969.024967608124,0,11641.0,-224.0,0,-1701.0,1464849.666818641
155,1464849.666818641,8969.024967608124,0,11791.0,-224.0,0,-1723.0,1483662.691786249
156,1483662.691786249,8969.024967608124,0,11941.0,-224.0,0,-1745.0,1502603.716753857
157,1502603.716753857,8969.024967608124,0,12093.0,-236.0,0,-1767.0,1521662.741721465
158,1521662.741721465,9416.57931349177,0,12249.0,-236.0,0,-1790.0,1541302.3210349567
159,1541302.3210349567,9416.57931349177,0,12406.0,-236.0,0,-1813.0,1561075.9003484484
160,1561075.9003484484,9416.57931349177,0,12564.0,-236.0,0,-1836.0,1580984.4796619401
161,1580984.4796619401,9416.57931349177,0,12723.0,-236.0,0,-1859.0,1601029.0589754318
162,1601029.0589754318,9416.57931349177,0,12884.0,-236.0,0,-1883.0,1621210.6382889235
163,1621210.6382889235,9416.57931349177,0,13045.0,-236.0,0,-1906.0,1641530.2176024152
164,1641530.2176024152,9416.57931349177,0,13208.0,-236.0,0,-1930.0,1661988.796915907
165,1661988.796915907,9416.57931349177,0,13371.0,-236.0,0,-1954.0,1682586.3762293987
